"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"261",12,"Nick Westbrook-Ikhine",MIA,"WR94","12","3 out of 5 stars","+163","+2.5","50% (7/14)"
"262",12,"Audric Estime",DEN,"RB75","12","2 out of 5 stars","+31","-0.5","41% (5/12)"
"263",12,"Malik Washington",MIA,"WR95","12","3 out of 5 stars","+280","+0.4","45% (5/11)"
"264",12,"Joshua Karty",LAR,"K15","8","2 out of 5 stars","-12","+0.2","56% (9/16)"
"265",12,"Elijah Mitchell",KC,"RB76","10","2 out of 5 stars","-28","-","-"
"266",12,"Kayshon Boutte",NE,"WR96","14","3 out of 5 stars","+32","+1.2","53% (8/15)"
"267",12,"Antonio Gibson",NE,"RB77","14","4 out of 5 stars","+42","-0.9","31% (5/16)"
"268",12,"Trevor Etienne",CAR,"RB78","14","3 out of 5 stars","-1","-","-"
"269",12,"Kenneth Gainwell",PIT,"RB79","5","4 out of 5 stars","+139","-0.2","50% (8/16)"
"270",12,"Harold Fannin Jr.",CLE,"TE32","9","3 out of 5 stars","+72","-","-"
"271",12,"Noah Gray",KC,"TE33","10","3 out of 5 stars","+1","+2.1","68% (11/16)"
"272",12,"Devin Singletary",NYG,"RB80","14","3 out of 5 stars","+119","-1.3","35% (5/14)"
"273",13,"Ollie Gordon II",MIA,"RB81","12","4 out of 5 stars","+1","-","-"
"274",13,"Amari Cooper",FA,"WR97","-","-","+93","-2.3","28% (4/14)"
"275",13,"Ty Johnson",BUF,"RB82","7","4 out of 5 stars","+162","+2.5","62% (10/16)"
"276",13,"Cleveland Browns",CLE,"DST18","9","3 out of 5 stars","-30","-2.1","31% (5/16)"
"277",13,"Sean Tucker",TB,"RB83","9","3 out of 5 stars","+27","+1.9","40% (6/15)"
"278",13,"Parker Washington",JAC,"WR98","8","4 out of 5 stars","+225","+0.7","40% (6/15)"
"279",13,"Tre Tucker",LV,"WR99","8","4 out of 5 stars","+131","0.0","31% (5/16)"
"280",13,"Theo Johnson",NYG,"TE34","14","2 out of 5 stars","+3","0.0","41% (5/12)"
"281",13,"Tyler Shough",NO,"QB32","11","5 out of 5 stars","+41","-","-"
"282",13,"Joe Flacco",CLE,"QB33","9","2 out of 5 stars","-1","-","-"
"283",13,"Tim Patrick",DET,"WR100","8","3 out of 5 stars","+37","+0.7","53% (8/15)"
"284",13,"Xavier Restrepo",TEN,"WR101","10","4 out of 5 stars","+12","-","-"
"285",13,"Luke McCaffrey",WAS,"WR102","12","3 out of 5 stars","+34","-1.8","25% (4/16)"
"286",13,"Khalil Herbert",IND,"RB84","11","2 out of 5 stars","+309","-1.7","15% (2/13)"
"287",13,"Isaiah Davis",NYJ,"RB85","9","5 out of 5 stars","+430","+0.8","50% (4/8)"
"288",13,"Jalen Nailor",MIN,"WR103","6","2 out of 5 stars","+87","+0.9","43% (7/16)"
"289",13,"Darren Waller",MIA,"TE35","12","3 out of 5 stars","-95","-","-"
"290",13,"Dameon Pierce",HOU,"RB86","6","2 out of 5 stars","+87","-0.3","20% (2/10)"
"291",13,"Taysom Hill",NO,"TE36","11","3 out of 5 stars","-53","+4.6","50% (4/8)"
"292",13,"Noah Fant",CIN,"TE37","10","2 out of 5 stars","-6","-0.4","38% (5/13)"
"293",13,"Jordan James",SF,"RB87","14","3 out of 5 stars","+38","-","-"
"294",13,"Dont'e Thornton Jr.",LV,"WR104","8","4 out of 5 stars","-43","-","-"
"295",13,"Jaxson Dart",NYG,"QB34","14","1 out of 5 stars","-39","-","-"
"296",13,"Tory Horton",SEA,"WR105","8","3 out of 5 stars","+18","-","-"
"297",13,"Sincere McCormick",LV,"RB88","8","2 out of 5 stars","+179","-0.7","75% (3/4)"
"298",13,"Alexander Mattison",MIA,"RB89","12","4 out of 5 stars","+132","-0.2","38% (5/13)"
"299",13,"Daniel Carlson",LV,"K16","8","3 out of 5 stars","-69","+1.5","56% (9/16)"
"300",13,"Christian Watson",GB,"WR106","5","2 out of 5 stars","+33","-1.8","28% (4/14)"
